"Sample","Clade","Microbial_Type","Longitude","Latitude"
"GW3005","G01","HMA",38.948583,22.216333
"GW3010","G11","Intermediate",38.948583,22.216333
"GW3014","G02","Intermediate",38.948611,22.216389
"GW3018","G09","LMA",38.948583,22.216333
"GW3030","G01","HMA",38.958611,20.201111
"GW3047","G03","LMA",38.958611,20.201111
"GW3065","G07","LMA",38.854444,22.319167
"GW3068","G08","Intermediate",38.854444,22.319167
"GW3074","G04","LMA",38.854444,22.319167
"GW3077","G11","Intermediate",38.854444,22.319167
"GW3078","G04","LMA",38.854444,22.319167
"GW3092","G22","Intermediate",38.847777,22.339722
"GW3107","G09","LMA",38.854167,22.341969
"GW3108","G09","LMA",38.854167,22.341969
"GW3119","G12","HMA",38.993333,22.432778
"GW3122","G12","HMA",38.993297,22.432661
"GW3123","G11","Intermediate",38.993297,22.432661
"GW3124","G10","Intermediate",38.993297,22.432661
"GW3125","G10","Intermediate",38.993297,22.432661
"GW3127","G10","Intermediate",38.993297,22.432661
"GW3134","G04","LMA",38.993297,22.432661
"GW3145","G16","LMA",38.962222,22.305556
"GW3217","G04","LMA",36.853889,25.625
"GW3232","G17","Intermediate",36.446667,26.246667
"GW3233","G17","Intermediate",36.446667,26.246667
"GW3234","G17","Intermediate",36.446667,26.246667
"GW3236","G14","Intermediate",36.446667,26.246667
"GW3240","G17","Intermediate",36.446667,26.246667
"GW3246","G17","Intermediate",36.446667,26.246667
"GW3248","G17","Intermediate",36.446667,26.246667
"GW3250","G14","Intermediate",36.446667,26.246667
"GW3257","G06","HMA",36.594725,26.058278
"GW3265","G06","HMA",36.594722,26.058333
"GW3294","G06","HMA",36.888056,25.617222
"GW3314","G01","HMA",36.594722,26.058333
"GW3320","G17","Intermediate",36.594722,26.058333
"GW3364","G17","Intermediate",36.643611,26.058889
"GW3387","G13","Intermediate",36.643611,26.058889
"GW3389","G17","Intermediate",36.446667,26.246667
"GW3390","G17","Intermediate",37.206111,25.210833
"GW3405","G19","Intermediate",36.446667,26.246667
"GW3407","G19","Intermediate",36.446667,26.246667
"GW3409","G19","Intermediate",36.446667,26.246667
"GW3410","G19","Intermediate",36.446667,26.246667
"GW3413","G19","Intermediate",36.446667,26.246667
"GW3415","G21","Intermediate",36.446667,26.246667
"GW3420","G19","Intermediate",36.446667,26.246667
"GW3430","G17","Intermediate",35.519722,27.618611
"GW3443","G13","Intermediate",35.519722,27.618611
"GW3448","G21","Intermediate",35.519722,27.618611
"GW3479","G17","Intermediate",35.694722,27.344444
"GW3487","G17","Intermediate",35.694722,27.344444
"GW3488","G13","Intermediate",35.694722,27.344444
"GW3490","G19","Intermediate",35.694722,27.344444
"GW3491","G17","Intermediate",35.694722,27.344444
"GW3496","G20","Intermediate",35.694722,27.344444
"GW3523","G11","Intermediate",35.068056,27.899722
"GW3528","G17","Intermediate",34.990833,28.107778
"GW3543","G17","Intermediate",35.189722,28.023056
"GW3574","G19","Intermediate",35.418333,27.778056
"GW3576","G02","Intermediate",35.418333,27.778056
"GW3582","G02","Intermediate",35.418333,27.778056
"GW4082","G12","HMA",40.019444,19.653889
"GW4094","G03","LMA",40.019444,19.653889
"GW4109","G16","LMA",40.008611,19.570833
"GW4146","G16","LMA",40.46895,19.01661667
"GW4147","G15","LMA",40.468889,19.016667
"GW4187","G16","LMA",40.381944,18.867778
"GW4191","G12","HMA",40.38203333,18.86786667
"GW4193","G01","HMA",40.381944,18.867778
"GW4194","G01","HMA",40.381944,18.867778
"GW4229","G04","LMA",40.642222,18.818056
"GW4246","G16","LMA",40.61978333,18.945
"GW4249","G16","LMA",40.61978333,18.945
"GW4253","G16","LMA",40.61978333,18.945
"GW4283","G01","HMA",40.573889,19.056389
"GW4284","G12","HMA",40.573889,19.056389
"GW4285","G08","Intermediate",40.573889,19.056389
"GW4286","G12","HMA",40.573889,19.056389
"GW4293","G15","LMA",40.524167,19.193333
"GW4298","G07","LMA",40.524167,19.193333
"GW4299","G07","LMA",40.524167,19.193333
"GW4301","G08","Intermediate",40.524167,19.193333
"GW4305","G09","LMA",40.578611,19.191667
"GW4310","G07","LMA",40.578611,19.191667
"GW4339","G16","LMA",40.578611,19.191667
"GW4340","G04","LMA",40.578611,19.191667
"GW4374","G12","HMA",40.68431667,19.2968
"GW4377","G03","LMA",40.684444,19.296667
"GW4409","G04","LMA",40.610833,19.433611
"GW4420","NA","Intermediate",40.751667,19.540556
"GW4431","G12","HMA",40.751667,19.540556
"GW4433","G07","LMA",40.75166667,19.5405
"GW4434","G08","Intermediate",40.75166667,19.5405
"GW4436","NA","Intermediate",40.75166667,19.5405
"GW4439","NA","Intermediate",40.75166667,19.5405
"GW4440","NA","Intermediate",40.75166667,19.5405
"GW4476","G15","LMA",40.776667,19.675833
"GW4507","G04","LMA",40.70643333,19.7001
"GW5796","G12","HMA",41.845833,16.915556
"GW5831","G15","LMA",42.354444,16.844167
"GW5850","G12","HMA",42.409075,16.820318
"GW5854","G04","LMA",42.023889,16.844444
"GW5871","G17","Intermediate",42.000278,16.749444
"GW5876","G19","Intermediate",42.065,16.718889
"GW5878","G18","Intermediate",42.065033,16.718833
"GW5888","G19","Intermediate",42.065033,16.718833
"GW5889","G07","LMA",42.065033,16.718833
"GW5894","G05","LMA",42.065033,16.718833
"GW5907","G19","Intermediate",42.065033,16.718833
"GW5910","G18","Intermediate",42.065033,16.718833
"GW5915","G21","Intermediate",42.179444,16.728611
"GW5926","G08","Intermediate",42.179444,16.728611
"GW5930","G20","Intermediate",42.179444,16.728611
"GW5936","G04","LMA",42.17943,16.72857
"GW5943","G21","Intermediate",41.809722,16.865833
"GW5967","G17","Intermediate",42.056944,16.543611
"GW5970","G04","LMA",42.056944,16.543611
"GW5973","G12","HMA",42.056944,16.543611
"GW5998","G04","LMA",41.93395,16.61883
"GW6015","G22","Intermediate",41.037,19.04472
"GW6016","G12","HMA",41.036944,19.044722
"GW6018","G16","LMA",41.037,19.04472
"GW6026","G12","HMA",41.037,19.04472
"GW6053","G09","LMA",41.038611,19.194722
"GW6084","G17","Intermediate",41.038531,19.194762
"GW6114","G07","LMA",39.985317,20.263633
"GW6134","G07","LMA",40.00095,20.245417
"GW6139","G17","Intermediate",40.118333,20.200278
"GW6141","G14","Intermediate",40.118333,20.200278
"GW6169","G05","LMA",40.044167,20.199722
"GW6176","G20","Intermediate",40.044167,20.199722
"GW6186","G20","Intermediate",42.393889,16.893611
"GW6193","G12","HMA",42.426111,16.838889
"GW6197","G12","HMA",42.426111,16.838889
"GW6202","G19","Intermediate",42.448889,16.738611
